Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03 00:00:00-05:00,14.621429443359375,14.73214340209961,14.60714340209961,14.686785697937012,12.402626991271973,302220800
2012-01-04 00:00:00-05:00,14.64285659790039,14.8100004196167,14.617142677307129,14.765713691711426,12.469279289245605,260022000
2012-01-05 00:00:00-05:00,14.819643020629883,14.948213577270508,14.738213539123535,14.929642677307129,12.607712745666504,271269600
2012-01-06 00:00:00-05:00,14.991786003112793,15.098214149475098,14.972143173217773,15.085714340209961,12.739514350891113,318292800
2012-01-09 00:00:00-05:00,15.196429252624512,15.276785850524902,15.048213958740234,15.061785697937012,12.719304084777832,394024400
2012-01-10 00:00:00-05:00,15.211071014404297,15.214285850524902,15.053570747375488,15.115714073181152,12.764847755432129,258196400
2012-01-11 00:00:00-05:00,15.09571361541748,15.101785659790039,14.975357055664062,15.091071128845215,12.744036674499512,215084800
2012-01-12 00:00:00-05:00,15.081428527832031,15.103570938110352,14.95535659790039,15.049642562866211,12.709049224853516,212587200
2012-01-13 00:00:00-05:00,14.989286422729492,15.016071319580078,14.952142715454102,14.993213653564453,12.661396980285645,226021600
2012-01-17 00:00:00-05:00,15.149999618530273,15.213929176330566,15.105713844299316,15.16785717010498,12.808881759643555,242897200
2012-01-18 00:00:00-05:00,15.248571395874023,15.338213920593262,15.225000381469727,15.325357437133789,12.941883087158203,276791200
2012-01-19 00:00:00-05:00,15.362500190734863,15.406070709228516,15.232500076293945,15.276785850524902,12.90086841583252,261738400
2012-01-20 00:00:00-05:00,15.267499923706055,15.26785659790039,14.991070747375488,15.010713577270508,12.67617416381836,413974400
2012-01-23 00:00:00-05:00,15.095356941223145,15.301786422729492,15.08214282989502,15.264642715454102,12.890613555908203,306062400
2012-01-24 00:00:00-05:00,15.182143211364746,15.182143211364746,14.983928680419922,15.014642715454102,12.679496765136719,547638000
2012-01-25 00:00:00-05:00,16.229999542236328,16.230356216430664,15.84749984741211,15.952142715454102,13.471190452575684,958314000
2012-01-26 00:00:00-05:00,16.01285743713379,16.028213500976562,15.82642936706543,15.879643440246582,13.409967422485352,323985200
2012-01-27 00:00:00-05:00,15.869285583496094,16.01714324951172,15.848929405212402,15.974286079406738,13.489890098571777,299709200
2012-01-30 00:00:00-05:00,15.918213844299316,16.21071434020996,15.90678596496582,16.17892837524414,13.662708282470703,379341200
2012-01-31 00:00:00-05:00,16.27107048034668,16.365713119506836,16.18107032775879,16.3028564453125,13.76735782623291,391683600
2012-02-01 00:00:00-05:00,16.37178611755371,16.392499923706055,16.269643783569336,16.292499542236328,13.758613586425781,270046000
2012-02-02 00:00:00-05:00,16.282142639160156,16.327499389648438,16.213571548461914,16.25428581237793,13.726344108581543,186796400
2012-02-03 00:00:00-05:00,16.332143783569336,16.428571701049805,16.270000457763672,16.417142868041992,13.863873481750488,286599600
2012-02-06 00:00:00-05:00,16.37071418762207,16.606428146362305,16.364286422729492,16.570356369018555,13.993255615234375,249412800
2012-02-07 00:00:00-05:00,16.616071701049805,16.77678680419922,16.59214210510254,16.743928909301758,14.13983154296875,316223600
2012-02-08 00:00:00-05:00,16.803571701049805,17.028213500976562,16.774999618530273,17.0242862701416,14.376590728759766,407890000
2012-02-09 00:00:00-05:00,17.170000076293945,17.741071701049805,17.162857055664062,17.61321449279785,14.873929023742676,884214800
2012-02-10 00:00:00-05:00,17.534286499023438,17.77214241027832,17.448213577270508,17.622142791748047,14.881463050842285,631302000
2012-02-13 00:00:00-05:00,17.840356826782227,17.993928909301758,17.75321388244629,17.950000762939453,15.158326148986816,517216000
2012-02-14 00:00:00-05:00,18.023571014404297,18.198570251464844,17.928571701049805,18.19499969482422,15.365226745605469,460398400
